Patient_ID_clean,133K02,5T4,7SK|ENSG00000232512.2,7SK|ENSG00000249352.3,7SK|ENSG00000254144.2,7SK|ENSG00000260682.2,7SK|ENSG00000271765.1,7SK|ENSG00000271814.1,7SK|ENSG00000271818.1,A-C1,A1BG-AS1,A1BG_x,A1BG_y,A1CF_x,A1CF_y,A2M-AS1,A2ML1_x,A2ML1_y,A2MP1,A2M_x,A2M_y,A3GALT2,A4GALT,A4GNT_x,A4GNT_y,AA,AAAS_x,AAAS_y,AACSP1_x,AACSP1_y,AACS_x,AACS_y,AADACL2_x,AADACL2_y,AADACL3_x,AADACL3_y,AADACL4_x,AADACL4_y,AADACP1,AADAC_x,AADAC_y,AADAT_x,AADAT_y,AAED1,AAGAB_x,AAGAB_y,AAK1,AAMDC,AAMP_x,AAMP_y
TCGA-04-1348,431.8365,331.8096,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,97.6069,36.3243,66.4695,-1.0,0.0,-1.0,118.4566,7.5289,0.0,0.0,5899.8279,0.0,0.0,-1.0,0.5378,2.0,4650.9814,2186.0715,0.0,0.0,0.0,1151.1159,0.0,0.0,2.0,4.3022,2.0,0.0,2.0,5.9156,22.5867,2.0,41.9468,-1.0,0.0,1004.5711,0.0,2.0,0.0,4192.2318,2.0
TCGA-04-1357,242.8385,309.8958,1.0,-1.0,2.0,0.0,1.0,0.0,-1.0,5.2083,28.1315,65.5664,0.0,0.0,1.0,111.0026,54.6875,1.0,1.0,9384.4401,1.0,-1.0,-1.0,0.0,1.0,793.6198,1073.5677,1.0,0.0,1.0,249.349,-1.0,0.0,1.0,18.2292,-1.0,0.0,-1.0,27.3438,195.3125,1.0,21.4844,-1.0,-1.0,664.0625,0.0,0.0,1.0,2366.5365,-1.0
TCGA-04-1362,386.5598,1007.1073,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,90.6827,23.2465,41.6412,-1.0,0.331,1.0,71.3613,5.6263,1.0,1.0,3350.4207,1.0,0.0,-1.0,0.0,1.0,2946.5253,1140.8147,1.0,0.0,1.0,581.1635,0.0,1.6548,1.0,4.9644,1.0,0.0,1.0,29.4553,87.3731,1.0,107.8925,-1.0,1.0,626.8358,-1.0,-1.0,1.0,2612.588,1.0
TCGA-04-1364,334.9785,345.5791,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,100.4936,114.6008,187.0368,-1.0,0.0,-1.0,67.8607,5.0883,-1.0,-1.0,1455.2316,-1.0,-1.0,-1.0,0.0,1.0,1099.9169,1607.473,0.0,66.1477,-1.0,785.7155,0.0,0.0,1.0,0.0,-1.0,0.424,-1.0,1.2721,2.1201,1.0,210.7397,-1.0,-1.0,1146.1355,1.0,1.0,0.0,3467.2399,1.0
TCGA-04-1365,277.2337,483.9536,-1.0,-1.0,2.0,-1.0,0.0,-1.0,-1.0,46.7078,10.4957,23.9295,-1.0,0.0,0.0,52.1501,3.3148,0.0,0.0,3999.3792,0.0,1.0,-1.0,0.6027,2.0,1815.8807,535.7842,0.0,2.4107,0.0,928.7329,0.0,0.0,2.0,1.5067,1.0,0.3013,1.0,21.9979,287.7806,2.0,43.9958,0.0,0.0,1286.4246,0.0,0.0,1.0,3511.8276,0.0
TCGA-04-1514,316.0622,114.2775,1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,24.1796,20.19,32.8123,0.0,0.0,0.0,224.7582,3.7421,0.0,0.0,3224.5797,0.0,-1.0,-1.0,0.8636,-1.0,1656.0161,1846.2867,0.0,178.4686,0.0,1001.7271,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.8636,-1.0,357.8008,-1.0,-1.0,847.4381,-1.0,-1.0,2.0,2129.8215,1.0
TCGA-04-1519,209.6128,99.6885,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,24.9221,17.2007,46.3418,-1.0,0.0,0.0,182.065,6.2305,0.0,0.0,1986.1593,0.0,1.0,-1.0,0.0,0.0,2156.2083,1518.9141,0.0,2.2252,-1.0,1177.1251,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.7802,99.2434,0.0,122.8304,0.0,-1.0,483.3111,-1.0,0.0,0.0,2931.4642,0.0
TCGA-09-0364,219.5273,556.9489,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,15.8096,83.0906,162.8522,1.0,0.9034,-1.0,120.2838,278.2486,2.0,2.0,1487.3247,2.0,-1.0,-1.0,1.3551,1.0,2152.3614,1204.69,-1.0,4.9687,0.0,1160.8749,1.0,0.4517,1.0,0.4517,0.0,1.3551,0.0,4.9687,61.4315,1.0,263.7941,-1.0,-1.0,1206.9485,-1.0,1.0,0.0,2619.8869,0.0
TCGA-09-0366,186.274,1134.7018,1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,126.2296,65.6758,88.5518,1.0,0.0,-1.0,53.6419,4.7763,1.0,1.0,10557.8325,1.0,1.0,-1.0,2.047,1.0,1313.2427,1406.266,1.0,0.0,0.0,1220.4469,1.0,1.1372,1.0,0.0,1.0,6.5958,1.0,68.9145,95.7525,1.0,2.5018,-1.0,0.0,1172.6844,0.0,1.0,2.0,3120.7142,1.0
TCGA-09-0367,260.934,643.016,-1.0,-1.0,2.0,-2.0,-1.0,-1.0,-1.0,201.6308,55.1265,192.7354,1.0,0.0,-1.0,92.9112,653.6058,2.0,2.0,4603.9013,2.0,1.0,-1.0,2.118,1.0,1103.8865,835.3278,-1.0,0.8472,0.0,666.3137,-1.0,0.4236,1.0,1.2708,-1.0,1.6944,-1.0,32.1932,56.7616,1.0,11.437,-1.0,-1.0,499.4176,-2.0,0.0,2.0,3805.9939,1.0
TCGA-09-0369,172.0606,972.4652,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,300.0783,77.0925,112.042,2.0,0.5872,-1.0,60.8906,1.1745,1.0,1.0,8957.3144,1.0,-1.0,-1.0,0.0,-1.0,1650.1372,1520.0641,-1.0,14.6809,-1.0,865.2943,1.0,0.0,1.0,0.0,1.0,0.2936,1.0,4.1107,6.166,1.0,328.2657,-1.0,-1.0,1190.3303,1.0,1.0,1.0,2506.9166,-1.0
TCGA-09-1659,262.4199,5258.4135,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,41.266,58.9383,118.1891,-1.0,0.0,1.0,125.4167,0.0,1.0,1.0,5024.8237,1.0,-1.0,-2.0,0.4006,1.0,1063.7019,986.3782,-1.0,0.0,1.0,698.7179,-1.0,0.0,1.0,2.0032,-1.0,0.4006,-1.0,68.109,79.3269,1.0,46.4744,-1.0,-1.0,854.9679,-1.0,1.0,1.0,3010.4167,0.0
TCGA-09-1662,225.6935,572.0442,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,28.8177,19.0304,27.8616,0.0,0.0,0.0,58.9442,2.6932,1.0,1.0,5690.8538,1.0,-1.0,-1.0,0.0,0.0,2732.2919,1374.3604,0.0,0.0,-1.0,590.3582,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,29.6256,80.5279,0.0,45.2464,-1.0,0.0,960.14,0.0,1.0,1.0,2395.637,0.0
TCGA-09-1666,410.566,1372.4528,0.0,0.0,2.0,-1.0,-1.0,-1.0,-1.0,27.5472,18.9057,18.8792,0.0,0.0,-1.0,95.5396,9.8113,0.0,0.0,12902.1962,0.0,0.0,-1.0,0.7547,0.0,1119.6226,1095.8491,0.0,0.0,1.0,500.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,14.717,413.9623,1.0,130.1887,-1.0,-1.0,1203.7736,0.0,0.0,0.0,2892.8302,0.0
TCGA-09-1667,378.1905,955.8987,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,38.7124,53.823,63.0247,-1.0,0.0,-1.0,89.6979,6.3812,1.0,1.0,13678.3063,1.0,1.0,-2.0,0.4254,0.0,1103.9418,935.479,-1.0,0.4254,1.0,587.9181,-1.0,0.0,1.0,0.4254,1.0,0.0,1.0,10.6353,126.3471,1.0,45.519,0.0,-1.0,793.8171,-1.0,0.0,2.0,2667.3275,0.0
TCGA-09-1668,295.431,1762.7885,0.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,16.2035,26.1479,24.4936,-1.0,0.0,-1.0,84.7518,2.6378,1.0,1.0,4758.5831,1.0,-1.0,-1.0,1.1305,2.0,1780.8761,1080.7348,1.0,0.0,0.0,378.7094,-1.0,0.7537,2.0,5.2756,-1.0,0.0,-1.0,144.3241,305.9821,2.0,243.4291,1.0,1.0,464.2487,-1.0,0.0,1.0,1967.0278,-1.0
